State,!,!=,%,%=,&,&&,(,),*,*=,+,++,+=,",",-,--,-=,->,.,/,/=,:,;,<,<<,<=,=,==,>,>=,>>,?,BOOL_CONSTANT,FLOAT_CONSTANT,IDENTIFIER,INT_CONSTANT,LOWER_THAN_ELSE,STRING_CONSTANT,[,],^,bool,break,continue,do,dyn,echo,else,float,for,fun,if,int,lambda,list,null,ret,string,type,var,while,{,|,||,},~,$end,anonFunc,arguments,assignment,bitwise_and,bitwise_or,bitwise_xor,block,breakStmt,call_access,comparison,continueStmt,decList,declaration,dowhileStmt,echoStmt,elements,equality,exprStmt,expression,factor,forInit,forStmt,funDecl,function,ifStmt,inTypeDecl,inTypeDeclList,logic_and,logic_or,optExpr,parameters,primary,program,returnStmt,shift,statement,term,ternary,typeDecl,typedVar,unary,varDecl,var_type,whileStmt
76,,,,,,,,,,,,,,,,,,,,,,,s130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,45,51,49,50,,,58,53,,,,,,,52,,131,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
78,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,s132,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,s7,,,,,,s9,,60,,45,51,49,50,,,58,53,,,,,,,52,134,44,56,135,,,,,,,48,47,,,59,,,54,,55,46,,,57,133,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,45,51,49,50,,,58,53,,,,,,,52,,137,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
81,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,
85,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,s140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,s142,,,,,,,,,,,,,,,,,,,,,,,,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,144,,,,
88,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,r119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,s145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,s18,s19,s16,,s13,,,s15,s21,s14,,s23,,s6,s22,,s20,s7,s17,s25,,,s146,s9,,60,,45,51,49,50,43,41,58,53,42,,96,40,37,,52,34,44,56,,35,31,,36,,,48,47,,,59,,38,54,33,55,46,30,,57,32,,39
92,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,r118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,r123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,s148,,,,,,,,,,,,,,,,,,,,,,,,,,s147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,51,49,50,,,71,53,,,,,,,52,,,56,,,,,,,,149,,,,59,,,54,,55,,,,57,,,
99,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,150,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
100,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,51,151,50,,,71,53,,,,,,,52,,,56,,,,,,,,,,,,59,,,54,,55,,,,57,,,
101,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,51,,152,,,71,53,,,,,,,52,,,56,,,,,,,,,,,,59,,,54,,55,,,,57,,,
102,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,153,,,,,71,53,,,,,,,52,,,56,,,,,,,,,,,,59,,,54,,55,,,,57,,,
103,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,53,,,,,,,154,,,56,,,,,,,,,,,,59,,,54,,55,,,,57,,,
104,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,155,,,,,,,,,,56,,,,,,,,,,,,59,,,54,,55,,,,57,,,
105,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,156,,,,,,,,,,56,,,,,,,,,,,,59,,,54,,55,,,,57,,,
106,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,56,,,,,,,,,,,,59,,,157,,55,,,,57,,,
107,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,56,,,,,,,,,,,,59,,,158,,55,,,,57,,,
108,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,56,,,,,,,,,,,,59,,,159,,55,,,,57,,,
109,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,56,,,,,,,,,,,,59,,,160,,55,,,,57,,,
110,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,56,,,,,,,,,,,,59,,,,,161,,,,57,,,
111,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,56,,,,,,,,,,,,59,,,,,162,,,,57,,,
112,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,163,,,,,,,,,,,,59,,,,,,,,,57,,,
113,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,164,,,,,,,,,,,,59,,,,,,,,,57,,,
114,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,165,,,
115,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,166,,,
116,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,167,,,
117,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,168,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
118,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,169,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
119,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,170,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
120,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,171,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
121,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,172,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
122,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,173,51,49,50,,,58,53,,,,,,,52,,,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
123,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,s12,,,,,,s24,s174,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,176,45,51,49,50,,,58,53,,,,,,,52,,175,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
126,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,45,51,49,50,,,58,53,,,,,,,52,,177,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,s181,,,,s180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,s182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,s12,r46,r46,r46,r46,r46,s24,r46,r46,r46,r46,s10,r46,r46,s8,s11,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,s5,s2,s3,s1,r46,s4,s26,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,s23,r46,s6,r46,r46,r46,r46,r46,r46,r46,r46,r46,s9,r46,60,,45,51,49,50,,,58,53,,,,,,,52,,184,56,,,,,,,,48,47,183,,59,,,54,,55,46,,,57,,,
136,,,,,,,s185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,s186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s21,,,,,,,,s20,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,190,189,,,,,,,,,,,,187,,,191,,
139,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,s192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,s193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,s194,,,,,,s195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,r116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,r117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,s12,,,,,,s24,,,,,s10,,,s8,s11,,,,,,,,,,,,,,,,,s5,s2,s3,s1,,s4,s26,,,,,,,,,,,,,,,s23,,s6,,,,,,,,,,s9,,60,,45,51,49,50,,,58,53,,,,,,,52,,196,56,,,,,,,,48,47,,,59,,,54,,55,46,,,57,,,
149,r68,r68,r68,r68,r68,s100,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,s197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,s101,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,s102,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
